app_name,GPSSample::en,GPSSample::es,GPSSample::fr,GPSSample::pt,GPSSample::ru,GPSSample::id
incomplete,Incomplete,Incompleto,Incomplet,Incompleto,Неполный,Tidak lengkap
does_not_exist,Does not exist,No existe,N'existe pas,Não existe,Не существует,Tidak ada
other,Other,Otros,Autre,Outros,Другое,Lainnya
notes,Notes,Notas,Notes (en anglais),Notas,Примечания,Catatan
oops,Oops!,¡Vaya!,Oups !,Oops!,Упс!,Ups!
field_is_required,field is required,campo obligatorio,le champ est obligatoire,o campo é obrigatório,поле обязательно для заполнения,lapangan diperlukan
number,Number,Número,Numéro,Número,Число,Nomor
text,Text,Texto,Texte,Texto,Текст,Teks
checkbox,Checkbox,Casilla de chequeo,Case à cocher,Caixa de seleção,Флажок,kotak centang
connected,Connected,Conectado,Connecté,Ligado,Подключено,Terhubung
forgot_pin,Forgot PIN,PIN olvidado,PIN oublié,Esqueci-me do PIN,Забыл PIN-код,Lupa PINnya
reset_pin,Reset PIN,Restablecer PIN,Réinitialiser le code PIN,Redefinir PIN,Сбросить PIN-код,Setel ulang PIN
personally_identifiable,Personally Identifiable Information,Información personal identificable,Informations personnelles identifiables,Informações de identificação pessoal,Персональная информация,Informasi Identifikasi Pribadi
integer_only,Integer Only,Sólo números enteros,Nombre entier seulement,Apenas números inteiros,Только целое число,Hanya Bilangan Bulat
required,Required,Requerido,Obligatoire,Necessário,Требуется,Diperlukan
time,Time,Hora,L'heure,Hora,Время,Waktu
date,Date,Fecha,La date,Data,Дата,Tanggal
dropdown,Dropdown,Menú de opciones,Question déroulante,Lista suspensa,Выпадающее окно,tarik-turun
fields,Fields,Campos,Les Champs,Campos,Поля,Bidang
rules,Rules,Reglas,Les Règles,Regras,Правила,Aturan
simple_random,Simple Random Sampling,Muestreo aleatorio simple,Échantillonnage aléatoire simple,Amostragem aleatória simples,Простая случайная выборка,Contoh acak sederhana
cluster_sampling,Cluster Sampling,Muestreo por conglomerados,Échantillonnage en grappes,Amostragem por conglomerados,Кластерная выборка,Pengambilan Sampel Klaster
subset_overlap,Subsets: May Overlap,Subconjuntos: Pueden solaparse,Sous-ensembles : Peuvent se chevaucher,Subconjuntos: Podem sobrepor-se,Подмножества: Могут пересекаться,Subset: Mungkin Tumpang Tindih
strata_exclusive,Strata: Mutually Exclusive,Estratos: Mutuamente excluyentes,Strates : Exclusivité mutuelle,Estratos: Mutuamente exclusivos,Страты: Взаимоисключающие,Strata: Saling Eksklusif
numberhouseholds,# of Households,# de hogares,#  de ménages,# Número de agregados familiares,# домохозяйств,# Rumah Tangga
percenthouseholds,% of all Households,% de todos los hogares,% de tous les ménages,% de todos os agregados familiares,% от всех домохозяйств,% dari seluruh Rumah Tangga
percenttotal,% of total population,% de la población total,% de la population totale,% da população total,% от общей численности населения,% dari total populasi
equal,Equal,Igual,Egaux,Igual,Равно,Setara
not_equal,Not Equal,No iguales,Non égaux,Não igual,Не равны,Tidak sama
less_than,Less Than,Menor que,Inférieur à,Menor que,Меньше,Kurang dari
greater_than,Greater Than,Mayor que,Supérieur à,Maior que,Больше чем,Lebih besar dari
greater_than_equal,Greater Than Or Equal,Mayor que o igual,Supérieur ou égal,Maior que ou igual,"Больше, чем или равно",Lebih Besar Dari Atau Sama Dengan
add_condition,Add Condition,Añadir condición,Ajoutez une condition,Adicionar condição,Добавить условие,Tambahkan Kondisi
select_rule,Select Rule,Seleccionar regla,Sélectionnez une règle,Selecionar regra,Выберите правило,Pilih Aturan
teams,Teams,Equipos,Équipes,Equipas,Команды,Tim
select_location,Select Location,Seleccionar ubicación,Sélectionnez le lieu,Selecionar localização,Выбрать местоположение,Pilih lokasi
current_location,Current,Actual,Actuel,Atual,Текущее,Saat ini
tap_the_map,Tap on the map to add a new location,Pulse en el mapa para añadir una nueva ubicación,Tapez sur la carte pour ajouter un nouveau lieu,Toque no mapa para adicionar uma nova localização,"Нажмите на карту, чтобы добавить новое местоположение",Ketuk pada peta untuk menambahkan lokasi baru
complete,Complete,Completar,Complet,Completar,Завершить,Menyelesaikan
reason_incomplete_label,Reason Incomplete,Razón Incompleto,Motif Incomplet,Razão Incompleto,Причина незавершенности,Alasan Tidak Lengkap
warning,Warning!,Advertencia,Attention!,Aviso!,Внимание!,Peringatan!
duplicate_warning,Adding this new location is extremely close to an existing location.  Are you sure that you want to add it?,Añadir esta nueva ubicación está extremadamente cerca de una ubicación existente.  ¿Está seguro de que desea añadirla?,L'ajout de ce nouveau lieu est extrêmement proche d'un lieu existant.  Êtes-vous sûr de vouloir l'ajouter ?,A adição desta nova localização é extremamente próxima de uma localização existente.  Tem a certeza de que pretende adicioná-la?,"Добавление нового местоположения происходит очень близко к существующему местоположению.  Вы уверены, что хотите добавить его?",Menambahkan lokasi baru ini sangat dekat dengan lokasi yang sudah ada. Apakah Anda yakin ingin menambahkannya?
missing_team,Configuration is missing a Team definition,A la configuración le falta una definición de Equipo,Il manque une définition d'équipe à la configuration,A configuração não tem uma definição de Equipa,В конфигурации отсутствует определение команды,Konfigurasi tidak memiliki definisi Tim
collection_teams,Collection Teams,Equipos de recogida,Équipes de collecte,Equipes de coleta,Коллективные команды,Tim Pengumpul
begin_field_block,Begin Field Block,Iniciar bloque de campo,Début d'une série de variables,Iniciar bloqueio de campo,Начало блока по полю,Mulai Blok Lapangan
save_and_end_block,Save and End Block,Guardar y finalizar bloque,Sauvegarder et terminer la série de variables,Salvar e terminar o bloco,Сохранить и завершить блок,Simpan dan Akhiri Blokir
add_another_field,Save and Add Another Field,Guardar y añadir otro campo,Enregistrer et ajouter un autre champ,Salvar e adicionar outro campo,Сохранить и добавить другое поле,Simpan dan Tambahkan Bidang Lain
current_location_not_set,Current Location Not Set,Ubicación actual no establecida,L'emplacement actuel n'est pas défini,Localização atual não definida,Текущее местоположение не установлено,Lokasi Saat Ini Tidak Ditetapkan
option_item_name,Enter the Option Item Name,Introduzca el nombre de la opción,Saisir le nom de l'élément de l'option,Introduzir o nome do item de opção,Введите имя элемента опции,Masukkan Nama Item Opsi
export_collection_data,Export Collection Data,Exportar datos de recogida,Exporter les données de la collection,Exportar dados de coleta,Экспорт данных коллекции,Ekspor Data Pengumpulan
import_field_data,Import Field Data,Importar datos de campo,Importer des données de champ,Importar dados de campo,Импортировать данные поля,Impor Data Bidang
select_a_date,Select a Date,Seleccione una fecha,Sélectionner une date,Selecionar uma data,Выберите дату,Pilih Tanggal
select,Select,Seleccione,Sélectionner,Selecionar,Выберите,Pilih
team_name,Team Name,Nombre del equipo,Nom de l'équipe,Nome da equipe,Имя команды,Nama tim
launch_survey,Launch Survey,Iniciar encuesta,Lancer l'enquête,Lançar questionário,Запустить опрос,Peluncuran Survei
mark_as_incomplete,Mark as Incomplete,Marcar como incompleta,Marquer comme incomplet,Marcar como Incompleto,Пометить как незавершенный,Tandai sebagai Tidak Lengkap
enter_current_pin,Enter Current Pin,Introducir PIN actual,Saisir le code PIN actuel,Insirar o PIN atual,Введите текущий PIN-код,Masukkan Pin Saat Ini
enter_new_pin,Re-Enter New PIN,Vuelva a introducir el nuevo PIN,Saisissez à nouveau votre code PIN,Introduzir novamente o novo PIN,Повторный ввод нового PIN-кода,Masukkan kembali PIN Baru
re_enter_new_pin,Re-Enter New PIN,Vuelva a introducir el nuevo PIN,Saisissez à nouveau votre code PIN,Introduzir novamente o novo PIN,Повторно ввести новый PIN-код,Masukkan kembali PIN Baru
select_a_time,Select a Time,Seleccione una hora,Sélectionner une heure,Selecionar uma hora,Выбрать время,Pilih Waktu
UUID,UUID,UUID,UUID,UUID,UUID,UUID
latitude,Latitude,Latitud,Latitude,Latitude,Широта,Garis Lintang
longitude,Longitude,Longitud,Longitude,Longitude,Долгота,Garis bujur
last_updated,Last Updated,Última actualización,Dernière mise à jour,Última atualização,Последнее обновление,Terakhir Diperbarui
status,Status,Estado,Statut,Estado,Статус,Status
description,Description,Descripción,Description de l'image,Descrição,Описание,Keterangan
add_image,Add Image,Añadir imagen,Ajouter une image,Adicionar imagem,Добавить изображение,Menambahkan gambar
enumeration_areas,Enumeration Areas,Áreas de Enumeración,Zones de dénombrement,Áreas de enumeração,Области перечисления,Daerah Pencacahan
enter_team_name,Enter Team Name,Introducir nombre de equipo,Saisir le nom de l'équipe,Insira nome da equipe,Введите название команды,Masukkan Nama Tim
assign_households,Assign Households,Asignar hogares,Assigner les ménages,Atribuir agregados familiares,Назначить домохозяйства,Tetapkan Rumah Tangga
sampling_type,Sampling Type,Tipo de Muestreo,Type d'échantillonnage,Tipo de amostragem,Тип выборки,Jenis Pengambilan Sampel
generating_qr_code,Generating QR Code…,Generar Código QR...,Générer un code QR...,Gerar código QR...,Генерация QR-кода...,Menghasilkan Kode QR…
samples,Samples,Muestras,Échantillons,Amostras,Образцы,Sampel
you_don_t_have_any_samples_for_this_study,You do not have any samples for this study,No tiene muestras para este estudio,Vous n'avez pas d'échantillons pour cette étude,Não tem amostras para este estudo,У вас нет образцов для этого исследования,Anda tidak memiliki sampel untuk penelitian ini
enum_saved_doc,Enumeration has been saved to the Documents directory.,Enumeración se ha guardado en el directorio Documentos.,L'énumération a été sauvegardée dans le répertoire Documents.,A enumeração foi guardada no diretório Documentos.,В директорию Документы сохранен файл Перепись.,Pencacahan telah disimpan ke direktori Dokumen.
config_saved_doc,Configuration has been saved to the Documents directory.,La configuración se ha guardado en el directorio Documentos.,Configuration a été sauvegardé dans le répertoire Documents.,A configuração foi guardada no diretório Documentos.,Конфигурация сохранена в каталоге Документы.,Konfigurasi telah disimpan ke direktori Dokumen.
nobody_home,Nobody home,Nadie en casa,Personne à la maison,Ninguém em casa,Никто не дома,Tidak ada orang di rumah
export_enum_data,Export Enumeration Data,Exportar datos de enumeración,Exporter des données de recensement,Exportar dados de enumeração,Экспорт данных переписи населения,Ekspor Data Pencacahan
delete_landmark_message,Are you sure you want to permanently delete this landmark?,¿Está seguro de que desea eliminar definitivamente este hito?,Êtes-vous sûr de vouloir supprimer définitivement ce point de repère ?,Tem a certeza de que pretende eliminar permanentemente esta referência?,"Вы уверены, что хотите безвозвратно удалить этот ориентир?",Apakah Anda yakin ingin menghapus landmark ini secara permanen?
subaddress,Subaddress,Subdirección,Sous-adresse,Sub-endereço,Субадрес,Subalamat
sampled,Sampled,Muestreo,Échantillonné,Amostragem,Выборочный,diambil sampelnya
completed_enumeration,Completed Enumeration,Enumeración completada,Dénombrement terminé,Enumeração concluída,Завершенное перечисление,Pencacahan Komplit
incomplete_enumeration,Incomplete Enumeration,Enumeración incompleta,Dénombrement incomplet,Enumeração Incompleta,Неполный сбор,Pencacahan Tidak Lengkap
dismiss,Dismiss,Descartar,Supprimer,Excluir,Удалить,Membubarkan
delete,Delete,Borrar,Supprimer,Eliminar,Удалить,Menghapus
launching_odk_collect_application,Launching ODK Collect Application...,Lanzamiento de la aplicación ODK Collect...,Lancement de l'application ODK Collect...,Iniciar a aplicação ODK Collect...,Запуск приложения ODK Collect...,Meluncurkan Aplikasi ODK Collect...
filters,Filters (combines rules),Filtros (combina reglas),Filtres (combine des règles),Filtros (combina regras),Фильтры (объединяет правила),Filter (menggabungkan aturan)
new_location,Identify Location,Identificar ubicación,Identifier le lieu,Identificar a localização,Идентифицировать местоположение,Identifikasi Lokasi
delete_configuration,The current configuration will be replaced by the import.  Would you like to proceed?,La configuración actual será reemplazada por la importación.  ¿Desea continuar?,La configuration actuelle sera remplacée par l'importation.  Souhaitez-vous continuer ?,A configuração atual será substituída pela importação. Deseja prosseguir? ,Текущая конфигурация будет заменена импортом.  Желаете ли вы продолжить?,Konfigurasi saat ini akan digantikan oleh impor. Apakah Anda ingin melanjutkan?
total_population,Total Population Size,Tamaño total de la población,Taille totale de la population,Tamanho total da população,Общий размер популяции,Jumlah Populasi Total
enter_the_total_population_size,Enter the total population size,Introduzca el tamaño total de la población,Saisissez la taille totale de la population,Introduza o tamanho total da população,Введите общий размер популяции.,Masukkan jumlah populasi total
total_population_size_error,The total population size must be greater than 0,El tamaño total de la población debe ser superior a 0,La taille totale de la population doit être supérieure à 0,O tamanho total da população tem de ser superior a 0,Размер генеральной совокупности должен быть больше 0,Ukuran total populasi harus lebih besar dari 0
sample_size_error,The sample size must be greater than 0,El tamaño de la muestra debe ser superior a 0,La taille de l'échantillon doit être supérieure à 0,O tamanho da amostra deve ser maior que 0,Размер выборки должен быть больше 0,Ukuran sampel harus lebih besar dari 0
simple_random_sampling_label,Total Sample Size Across All Clusters,Tamaño total de la muestra en todas las agrupaciones,Taille totale de l'échantillon pour toutes les grappes,Tamanho total da amostra em todos os clusters,Общий размер выборки по всем кластерам,Total Ukuran Sampel di Semua Cluster
cluster_sampling_label,Sample Size Per Cluster,Tamaño de la muestra por conglomerado,Taille de l'échantillon par grappe,Tamanho da amostra por agrupamento,Размер выборки для каждого кластера,Ukuran Sampel Per Cluster
show_enumeration_info,Show Enumeration Info,Mostrar información de enumeración,Afficher les informations sur le dénombrement,Mostrar informações de enumeração,Показать информацию о населенном пункте,Tampilkan Info Pencacahan
please_enter_a_name,Please enter a name for this field.,Introduzca un nombre para este campo.,Veuillez saisir un nom pour ce champ.,Introduza um nome para este campo.,"Пожалуйста, введите имя для этого поля.",Silakan masukkan nama untuk bidang ini.
please_enter_a_subaddress,Please enter a unique sub-address.,Introduzca una subdirección única.,Veuillez saisir une sous-adresse unique.,Introduza um sub-endereço único.,Укажите уникальный субадрес.,Silakan masukkan sub-alamat unik.
please_select_team_boundary,Please select the team boundary.,"Por favor, seleccione el límite del equipo.",Veuillez sélectionner le périmètre de l'équipe.,Seleccione o limite da equipa.,"Пожалуйста, выберите границу группы.",Silakan pilih batas tim.
enum_area_name_property,Enter the value of the Enumeration Area Name property,Introduzca el valor de la propiedad Nombre del área de enumeración,Saisir la valeur de la propriété Nom de la zone d'énumération,Introduzir o valor da propriedade Nome da área de enumeração,"Введите значение свойства ""Имя области перечисления"".",Masukkan nilai properti Nama Area Pencacahan
downloading_map_tiles,Downloading Map Tiles...,Descargando Mosaicos de Mapa...,Téléchargement des tuiles de carte...,Descarregamento de Map Tiles...,Загрузка плиток карты...,Mengunduh Ubin Peta...
style_pack_download_failed,Map Style Pack Download Failed,Fallo en la descarga del paquete de estilos de mapa,Échec du téléchargement du Map Style Pack,Falha no download do pacote de estilos de mapa,Загрузка пакета стилей карты не удалась,Pengunduhan Paket Gaya Peta Gagal
tile_pack_download_failed,Map Tile Pack Download Failed,Descarga fallida del paquete de mosaicos de mapa,Le téléchargement du Map Tile Pack a échoué,Falha na transferência do pacote de mosaicos de mapas,Загрузка пакета плиток карты не удалась,Pengunduhan Paket Ubin Peta Gagal
download_map_tiles_now,Would you like to download map tiles now?,¿Desea descargar los mosaicos de mapa ahora?,Voulez-vous télécharger les tuiles de carte maintenant ?,Gostaria de descarregar agora as peças do mapa?,Вы хотите загрузить плитки карты сейчас?,Apakah Anda ingin mengunduh petak peta sekarang?
delete_map_tile_region,Are you sure you want to delete this Map Tile Region?,¿Está seguro de que desea eliminar esta Región de Baldosas de Mapa?,Êtes-vous sûr de vouloir supprimer cette région de tuiles de carte ?,Tem a certeza de que pretende apagar esta Região de Map Tile?,"Вы уверены, что хотите удалить этот регион картографических плиток?",Apakah Anda yakin ingin menghapus Wilayah Petak Peta ini?
import_enumeration_area,Import Enumeration Area,Importar área de enumeración,Importez une zone de dénombrement,Importar área de enumeração,Импортировать область перечисления,Daerah Pencacahan Impor
create_enumeration_area,Create Enumeration Area,Crear área de enumeración,Créez une zone de dénombrement,Criar área de enumeração,Создать область переписи населения,Buat Area Pencacahan
add_household,Add Household,Añadir hogar,Ajoutez un ménage,Adicionar agregado familiar,Добавить домохозяйство,Tambahkan Rumah Tangga
define_map_tile_cache_region,Define map tile cache region,Definir región de caché de map tiles,Définir la région de cache des tuiles de la carte,Definir região de cache de mosaicos,Определить регион кэширования картографических плиток,Tentukan wilayah cache ubin peta
download_map_tiles,Download map tiles,Descargar mosaicos de mapa,Téléchargez les tuiles de la carte,Descarregar mosaicos do mapa,Загрузить плитки карты,Unduh ubin peta
center_on_location,Center on location,Centrar en ubicación,Centrez sur l'emplacement,Centrar na localização,Центрирование по местоположению,Pusatkan pada lokasi
less_than_equal,Less Than Or Equal,Menor o igual que,Inférieur ou égal,Menor que ou igual,Меньше или равно,Kurang Dari Atau Sama
gps_accuracy_error,GPS accuracy is less than the required accuracy,La precisión del GPS es inferior a la requerida,La précision du GPS est inférieure à la précision requise,A precisão do GPS é inferior à precisão exigida,Точность GPS меньше требуемой точности,Akurasi GPS kurang dari akurasi yang dibutuhkan
gps_location_error,You are currently too far away from this location,Se encuentra demasiado lejos de esta ubicación,Vous êtes actuellement trop loin de cet emplacement,Está atualmente demasiado longe desta localização,Вы находитесь слишком далеко от этого места,Anda saat ini terlalu jauh dari lokasi ini
good,GOOD,BUENA,BON,BOA,ХОРОШО,BAGUS
poor,POOR,POBRE,MAUVAIS,RUIM,ПЛОХО,MISKIN
unknown,UNKNOWN,DESCONOCIDO,INCONNU,DESCONHECIDA,НЕИЗВЕСТНО,TIDAK DIKENAL
legend,Legend,Leyenda,Légende,Legenda,Легенда,Legenda
select_date_type,Please select the Date type,Seleccione el tipo de fecha,Veuillez sélectionner le type de date,Seleccione o tipo de data,"Пожалуйста, выберите тип даты",Silakan pilih jenis Tanggal
contains,Contains,Contiene,Contient,Contém,Содержит,Mengandung
collection_saved_doc,Collection has been saved to the Documents directory,La colección se ha guardado en el directorio Documentos,La collection a été enregistrée dans le répertoire Documents,A coleção foi guardada no diretório Documentos,Коллекция была сохранена в каталоге Документы,Koleksi telah disimpan ke direktori Dokumen
invalid_operator,The selected operator is not valid for the selected rule,El operador seleccionado no es válido para la regla seleccionada,L'opérateur sélectionné n'est pas valide pour la règle sélectionnée,O operador selecionado não é válido para a regra selecionada,Выбранный оператор не действителен для выбранного правила,Operator yang dipilih tidak valid untuk aturan yang dipilih
about_gpssample,About GPSSample,Acerca de GPSSample,À propos de GPSSample,Sobre o GPSSample,О компании GPSSample,Tentang Contoh GPS
privacy_statement,Privacy Statement,Declaración de privacidad,Déclaration de confidentialité,Declaração de privacidade,Положение о конфиденциальности,Pernyataan Privasi
terms_and_conditions,Terms and Conditions,Condiciones de uso,Conditions d'utilisation,Termos e Condições,Условия и положения,syarat dan Ketentuan
show_map,Show Map,Mostrar mapa,Afficher la carte,Mostrar mapa,Показать карту,Tampilkan Peta
number_of_residents,Number of Residents,Número de residentes,Nombre de résidents,Número de residentes,Количество жителей,Jumlah Penduduk
end_user_license_agreement,End User License Agreement,Acuerdo de licencia de usuario final,Accord de licence pour l'utilisateur final,Contrato de Licença de Utilizador Final,Лицензионное соглашение с конечным пользователем,Perjanjian Lisensi Pengguna Akhir
code_of_conduct,Code of Conduct,Código de conducta,Code de conduite,Código de Conduta,Кодекс поведения,Kode etik
clear_map,Are you sure you want to clear the map?,¿Estás seguro de que quieres borrar el mapa?,Êtes-vous sûr de vouloir effacer la carte ?,Tens a certeza de que queres limpar o mapa?,"Вы уверены, что хотите очистить карту?",Apakah Anda yakin ingin menghapus peta?
delete_point,Are you sure you want to remove the last point?,¿Estás seguro de que quieres eliminar el último punto?,Êtes-vous sûr de vouloir supprimer le dernier point ?,Tem a certeza de que pretende remover o último ponto?,"Вы уверены, что хотите удалить последнюю точку?",Apakah Anda yakin ingin menghapus poin terakhir?
enumeration_area,Enumeration Area,Área de Enumeración,Zone de dénombrement,Área de enumeração,Зона переписи,Daerah Pencacahan
please_select_a_role,Please select a role,Seleccione un rol,Veuillez sélectionner un rôle,"Por favor, seleccione uma função","Пожалуйста, выберите роль",Silakan pilih peran
please_enter_your_user_name,Please enter your user name,Introduzca su nombre de usuario,Veuillez saisir votre nom d'utilisateur,Introduza o seu nome de utilizador,"Пожалуйста, введите имя пользователя",Silakan masukkan nama pengguna Anda
user_name_not_found,User name not found,Nombre de usuario no encontrado,Nom d'utilisateur non trouvé,Nome de utilizador não encontrado,Имя пользователя не найдено,Nama pengguna tidak ditemukan
multi_families,Multi Households,Multihogares,Multi-ménages,Agregados familiares múltiplos,Многоквартирные дома,Multi Rumah Tangga
is_multi_family,Is this a multi household location?,¿Se trata de una ubicación multihogar?,S'agit-il d'un lieu où vivent plusieurs ménages ?,Este é um local com vários agregados familiares?,Является ли это место расположения несколькими домохозяйствами?,Apakah ini lokasi multi rumah tangga?
sample,Sample,Muestra,Exemple,Amostra,Образец,Sampel
mark_status,Mark Status,Marca Estado,Statut de la marque,Estado da marca,Статус отметки,Tandai Status
not_visited,Not Visited,No visitado,Non visitée,Não visitado,Не посещен,Tidak Dikunjungi
incomplete_collection,Incomplete Survey,Encuesta incompleta,Enquête incomplète,Inquérito Incompleto,Незавершенный опрос,Survei Tidak Lengkap
completed_collection,Completed Survey,Encuesta completada,Enquête terminée,Inquérito concluído,Завершенный опрос,Survei Selesai
accuracy,Accuracy : ,Precisión : ,Précision : ,Exatidão : ,Точность ,Akurasi:
subaddress_is_required,Subaddress is Required,Se requiere subdirección,La sous-adresse est requise,O subendereço é necessário,Требуется субадрес,Sub-alamat wajib diisi
auto_increment_subaddress,Auto Increment Subaddress,Incremento automático de la subdirección,Incrémentation automatique de la sous-adresse,Incremento automático do subendereço,Автоматическое увеличение субадреса,Sub-Alamat Kenaikan Otomatis
allow_manual_identification_of_locations,Allow manual identification of locations,Permitir la identificación manual de ubicaciones,Permettre l'identification manuelle des lieux,Permitir a identificação manual de localizações,Разрешить ручную идентификацию местоположений,Izinkan identifikasi lokasi secara manual
proximity_warning_enabled,Proximity Warning Enabled,Aviso de proximidad activado,Avertissement de proximité activé,Aviso de proximidade ativado,Включено предупреждение о приближении,Peringatan Kedekatan Diaktifkan
encryption_password,Encryption Password,Contraseña de encriptación,Mot de passe de cryptage,Palavra-passe de encriptação,Пароль шифрования,Kata Sandi Enkripsi
enter_encryption_password,Enter Encryption Password,Introduzca la contraseña de encriptación,Entrer le mot de passe de cryptage,Introduzir palavra-passe de encriptação,Введите пароль шифрования,Masukkan Kata Sandi Enkripsi
summary,Summary,Resumen,Résumé,Resumo,Резюме,Ringkasan
num_enumeration_areas,# Enumeration Areas:,# Áreas de Enumeración:,# Zones de dénombrement :,# Áreas de Enumeração:,# Области перечисления:,# Area Pencacahan:
num_hhs_enumerated,# HH\'s Enumerated:,# Hogares censados,# Ménages recensés :,# Agregados Familiares Enumerados:,# Перечисленные домохозяйства:,# HH Dihitung:
num_hhs_eligible,# HH\'s Eligible:,# Hogares elegibles:,# Ménages éligibles :,# Agregados Familiares Elegíveis:,"# Домохозяйства, отвечающие критериям:",# HH yang Memenuhi Syarat:
num_hhs_sampled,# HH\'s Sampled:,# Hogares muestreados,# Ménages échantillonnés :,# Agregados Familiares Amostrados:,"# Домохозяйства, попавшие в выборку:",# Sampel HH:
num_hhs_surveyed,# HH\'s Surveyed:,# Hogares encuestados:,# Nombre de ménages enquêtés:,# Agregados Familiares Inquiridos:,# Обследованные домохозяйства:,# HH yang Disurvei:
num_hhs_remaining_to_survey,# HH\'s Remaining to Survey:,# Hogares pendientes de encuestar:,# Ménages restant à enquêter :,# Agregados Familiares que Faltam Inquirir:,"# Домохозяйства, оставшиеся для опроса:",# Sisa HH yang Harus Disurvei:
decryption_failed,Decryption failed.  Please try again.,La desencriptación ha fallado.  Inténtelo de nuevo.,Le décodage a échoué.  Veuillez réessayer.,"A descodificação falhou.  Por favor, tente novamente.","Расшифровка не удалась.  Пожалуйста, попробуйте еще раз.",Dekripsi gagal. Silakan coba lagi.
rename_or_delete,Would you like to Rename or Delete the Enumeration Area ?,¿Desea cambiar el nombre o eliminar el área de enumeración?,Souhaitez-vous renommer ou supprimer la zone de dénombrement ?,Gostaria de mudar o nome ou eliminar a área de enumeração?,Вы хотите переименовать или удалить область переписи?,Apakah Anda ingin Mengganti Nama atau Menghapus Area Pencacahan?
rename,Rename,Renombrar,Renommer,Mudar o nome,Переименовать,Ganti nama
map_tile_boundary,Enter the length/width (Kilometers) of the desired map tile region,Introduzca la longitud/anchura (Kilómetros) de la región de mosaico de mapa deseada,Saisir la longueur/largeur (en kilomètres) de la région souhaitée.,Introduza o comprimento/largura (quilómetros) da região de mosaico pretendida,Введите длину/ширину (в километрах) желаемого региона картографической плитки,Masukkan panjang/lebar (Kilometer) wilayah petak peta yang diinginkan
success,SUCCESS!,¡ÉXITO!,SUCCES !,SUCESSO!,УСПЕХ!,KESUKSESAN!
error,ERROR!,¡ERROR!,ERREUR !,ERRO!,ОШИБКА!,KESALAHAN!
import_failed,The import failed.,La importación ha fallado.,L'importation a échoué.,A importação falhou.,Импорт не удался.,Impor gagal.
import_succeeded,The import was successful.,La importación se ha realizado correctamente.,L'importation a réussi.,A importação foi bem sucedida.,Импорт прошел успешно.,Impor berhasil.
clear_map_tile_region,Clear map tile cache region,Borrar región de caché de mosaico de mapa,Effacer la région du cache des tuiles de la carte,Limpar a região da cache de mosaicos do mapa,Очистить кэш региона плитки карты,Hapus wilayah cache ubin peta
import_request_failed,Received an Export Request while waiting for an Import Request,Recibida una solicitud de exportación a la espera de una solicitud de importación,Réception d'une demande d'exportation en attente d'une demande d'importation,Recebeu um pedido de exportação enquanto aguardava um pedido de importação,Получен запрос на экспорт в ожидании запроса на импорт,Menerima Permintaan Ekspor sambil menunggu Permintaan Impor
export_request_failed,Received an Import Request while waiting for an Export Request,Recibida una Solicitud de Importación mientras se espera una Solicitud de Exportación,Réception d'une demande d'importation en attente d'une demande d'exportation,Recebeu um pedido de importação enquanto aguardava um pedido de exportação,Получен запрос на импорт в ожидании запроса на экспорт,Menerima Permintaan Impor sambil menunggu Permintaan Ekspor
network_connection,Network Connection,Conexión a la red,Connexion au réseau,Ligação de rede,Сетевое подключение,Koneksi jaringan
add_landmark,Add Landmark,Añadir punto de referencia,Ajoutez un point de repère,Adicionar ponto de referência,Добавить ориентир,Tambahkan Tengara
enumerated,Enumerated,Censados,Recensés,Enumerados,Перечисленные,Dihitung
surveyed,Surveyed,Encuestados,Enquêtés,Inquiridos,Обследованные,Disurvei
meters,Meters,Metros,Mètres,Metros,Метры,Meter
feet,Feet,Pies,Pieds,Pés,Футы,Kaki
kilometers,Kilometers,Kilómetros,Kilomètres,Quilômetros ,километры,Kilometer
miles,Miles,Millas,Miles,Milhas,Мили,mil
importing_locations,Importing Locations…,,,,,
saving_configuration,Saving Configuration…,,,,,
polygon_is_self_intersecting,A polygon based on these points will be self-intersecting.,,,,,
no_eligible_households,There are no eligible households to sample.,,,,,
