app_name	GPSSample::en	GPSSample::es	GPSSample::fr	GPSSample::pt	GPSSample::ru	GPSSample::in	GPSSample::tl	GPSSample::fa-rAF	GPSSample::ps	
home	Home	Pantalla de inicio	Écran d'accueil	Início	Главная	Rumah	Bahay	خانه	کور	
manage_enumeration_areas	Manage Enumeration Areas	Administrar áreas de enumeración	Gérer les zones de dénombrement	Gerir áreas de enumeração	Управление участками регистрации	Kelola Area Pencacahan	Pamahalaan ang Enumeration Area	مدیریت حوزه	د شمېرنې ساحې اداره کړئ	
please_confirm	Please Confirm	"Por favor, confirme"	"SVP, confirmez"	"Por favor, confirmar"	"Пожалуйста, подтвердите"	Mohon Konfirmasi	Mangyaring Kumpirmahin	لطفاً تأیید کنید	مهرباني وکړئ تایید کړئ	
import_enumeration	Import Enumeration Data	Importar datos de enumeración	Importez les données de dénombrement	Importar dados de enumeração	Импорт регистрационных данных 	Impor Data Pencacahan	Mag-import ng Data ng Enumeration	وارد کردن داده	د شمېرنې ډیټا وارد کړئ	
export_configuration	Export Configuration	Exportar configuración	Exportez la configuration	Exportar configuração	Экспорт конфигурации	Ekspor Konfigurasi	I-export ang Configuration	صادرات پیکربندی	ترتیبات صادر کړئ	
delete_study_message	Are you sure you want to permanently delete this study?	¿Está seguro de que desea eliminar permanentemente este estudio?	Êtes-vous sûr de vouloir supprimer définitivement cette étude ?	Tem a certeza de que deseja eliminar permanentemente este estudo?	"Вы уверены, что хотите навсегда удалить это исследование?"	Apakah Anda yakin ingin menghapus studi ini secara permanen?	Sigurado ka bang gusto mong permanenteng tanggalin ang pag-aaral na ito?	آیا مطمئن هستید که می	ایا تاسو ډاډه یاست چې غواړئ دا مطالعه د تل لپاره حذف کړئ؟	
delete_field_message	Are you sure you want to permanently delete this field?	¿Está seguro de que desea eliminar permanentemente este campo?	Êtes-vous sûr de vouloir supprimer définitivement ce champ ?	Tem a certeza de que deseja eliminar permanentemente este campo?	"Вы уверены, что хотите навсегда удалить это поле?"	Apakah Anda yakin ingin menghapus bidang ini secara permanen?	Sigurado ka bang gusto mong permanenteng tanggalin ang field na ito?	آیا مطمئن هستید که می	ایا تاسو ډاډه یاست چې غواړئ دا ساحه د تل لپاره حذف کړئ؟	
delete_rule_message	Are you sure you want to permanently delete this rule?	¿Está seguro de que desea eliminar permanentemente esta regla?	Êtes-vous sûr de vouloir supprimer définitivement cette règle ?	Tem a certeza de que deseja eliminar permanentemente esta regra?	"Вы уверены, что хотите навсегда удалить это правило?"	Apakah Anda yakin ingin menghapus aturan ini secara permanen?	Sigurado ka bang gusto mong permanenteng tanggalin ang panuntunang ito?	آیا مطمئن هستید که می	ایا تاسو ډاډه یاست چې غواړئ دا قاعده د تل لپاره حذف کړئ؟	
delete_team_message	Are you sure you want to permanently delete this team?	¿Está seguro de que desea eliminar permanentemente este equipo?	Êtes-vous sûr de vouloir supprimer définitivement cette équipe ?	Tem a certeza de que deseja eliminar permanentemente esta equipa?	"Вы уверены, что хотите навсегда удалить эту команду?"	Apakah Anda yakin ingin menghapus tim ini secara permanen?	Sigurado ka bang gusto mong permanenteng tanggalin ang team na ito?	آیا مطمئن هستید که می	ایا تاسو ډاډه یاست چې غواړئ دا ټیم د تل لپاره حذف کړئ؟	
delete_configuration_message	Are you sure you want to permanently delete this configuration?	¿Está seguro de que desea eliminar permanentemente esta configuración?	Êtes-vous sûr de vouloir supprimer définitivement cette configuration ?	Tem a certeza de que deseja eliminar permanentemente esta configuração?	"Вы уверены, что хотите навсегда удалить эту конфигурацию?"	Apakah Anda yakin ingin menghapus konfigurasi ini secara permanen?	Sigurado ka bang gusto mong permanenteng tanggalin ang configuration na ito?	آیا مطمئن هستید که می	ایا تاسو ډاډه یاست چې غواړئ دا تشکیلات د تل لپاره حذف کړئ؟	
delete_household_message	Are you sure you want to permanently delete this household?	¿Está seguro de que desea eliminar permanentemente este hogar?	Êtes-vous sûr de vouloir supprimer définitivement ce ménage ?	Tem a certeza de que deseja eliminar permanentemente este agregado familiar?	"Вы уверены, что хотите навсегда удалить это домохозяйство?"	Apakah Anda yakin ingin menghapus rumah tangga ini secara permanen?	Sigurado ka bang gusto mong permanenteng tanggalin ang sambahayan na ito?	آیا مطمئن هستید که می	ایا تاسو ډاډه یاست چې غواړئ دا کورنۍ د تل لپاره حذف کړئ؟	
create_field_rule_message	You must create at least one field before you can create a rule	Debe crear al menos un campo antes de poder crear una regla	Vous devez créer au moins un champ avant de pouvoir créer une règle.	Você deve criar pelo menos um campo antes de criar uma regra	Перед созданием правила необходимо создать хотя бы одно поле	Anda harus membuat setidaknya satu bidang sebelum dapat membuat aturan	Dapat kang lumikha ng hindi bababa sa isang field bago ka makagawa ng isang panuntunan	شما باید حداقل یک فیلد ایجاد کنید تا بتوانید یک قاعده بسازید	تاسو باید د قانون جوړولو څخه مخکې لږ تر لږه یو فیلډ جوړ کړئ	
create_rule_filter_message	You must create at least one rule before you can create a filter	Debe crear al menos una regla antes de poder crear un filtro	Vous devez créer au moins une règle avant de pouvoir créer un filtre	Você deve criar pelo menos um campo antes de criar uma regra	Перед созданием фильтра необходимо создать хотя бы одно правило	Anda harus membuat setidaknya satu aturan sebelum dapat membuat filter	Dapat kang lumikha ng hindi bababa sa isang panuntunan bago ka makagawa ng isang filter	شما باید حداقل یک قاعده ایجاد کنید تا بتوانید یک فیلتر بسازید	تاسو باید د فلټر جوړولو څخه مخکې لږ تر لږه یو قانون جوړ کړئ	
select_import_method_message	Select an import method	Seleccione un método de importación	Sélectionnez une méthode d'importation	Selecione um método de importação	Выберите метод импорта	Pilih metode impor	Pumili ng paraan ng pag-import	انتخاب روش وارد کردن	د واردولو طریقه وټاکئ	
select_export_message	Select an export method	Seleccione un método de exportación	Sélectionnez une méthode d'exportation	Selecione um método de exportação	Выберите метод экспорта	Pilih metode ekspor	Pumili ng paraan ng pag-export	انتخاب روش صادر کردن	د صادرولو طریقه وټاکئ	
clear_selections_message	Are you sure you want clear all selections?	¿Está seguro de que desea borrar todas las selecciones?	Etes-vous sûr de vouloir effacer toutes les sélections ?	Tem a certeza de que deseja apagar todas as selecções?	"Вы уверены, что хотите снять все выделения?"	Apakah Anda yakin ingin menghapus semua pilihan?	Sigurado ka bang gusto mong i-clear ang lahat ng mga pagpipilian?	آیا مطمئن هستید که می	ایا تاسو ډاډه یاست چې غواړئ ټول انتخابونه پاک کړئ؟	
team_name_message	You must enter a team name	Debe introducir un nombre de equipo	Vous devez saisir un nom d'équipe	Você deve inserir um nome de equipe	Необходимо ввести имя команды	Anda harus memasukkan nama tim	Dapat kang maglagay ng pangalan ng koponan	شما باید نام یک تیم را وارد کنید	تاسو باید د یوې لوبډلې نوم ولیکئ.	
configuration_documents_message	The configuration has been saved to the Documents directory.	La configuración se ha guardado en el directorio Documentos.	La configuration a été sauvegardée dans le répertoire Documents.	A configuração foi guardada no diretório Documentos.	Конфигурация была сохранена в директории Документы.	Konfigurasi telah disimpan ke direktori Dokumen.	Ang configuration ay nai-save sa Documents directory.	پیکربندی در پوشهٔ Documents ذخیره شد.	تشکیلات د اسنادو په فولډر کې خوندي شول.	
delete_enum_area_message	Are you sure you want to permanently delete Enumeration Area	¿Está seguro de que desea borrar permanentemente el Área de Enumeración?	Etes-vous sûr de vouloir supprimer définitivement la zone de dénombrement ?	Tem a certeza de que deseja eliminar permanentemente a Área de Enumeração	"Вы уверены, что хотите навсегда удалить область регистрации"	Apakah Anda yakin ingin menghapus Area Enumerasi secara permanen	Sigurado ka bang gusto mong permanenteng tanggalin ang Enumeration Area	آیا مطمئن هستید که می	ایا تاسو ډاډه یاست چې غواړئ د شمېرنې ساحه دایمي ډول حذف کړئ؟	
no_study_ea	You do not have a study associated with this EA.	No tiene ningún estudio asociado a esta Área de Enumeración.	Vous n'avez pas d'étude associée à cette zone de dénombrement.	Não tem um estudo associado a esta Área de Enumeração.	"У вас нет исследования, связанного с этой областью регистрации."	Anda tidak memiliki studi yang terkait dengan EA ini.	Wala kang pag-aaral na nauugnay sa Enumeration Area na ito.	شما هیچ مطالعه	تاسو د دې شمېرنې سیمې سره کومه مطالعه نه لرئ	
filename_export_message	Enter a file name for the export	Ingrese un nombre de archivo para la exportación	Entrez un nom de fichier pour l'exportation	Insira um nome de ficheiro para a exportação	Введите имя файла для экспорта	Masukkan nama file untuk ekspor	Maglagay ng pangalan ng file para sa pag-export	یک نام فایل برای صادر کردن وارد کنید	د صادرولو لپاره د فایل نوم داخل کړئ	
select_task	Select a task	Seleccione una tarea	Sélectionnez une tâche	Selecione uma tarefa	Выберите задачу	Pilih tugas	Pumili ng gawain	یک وظیفه را انتخاب کنید	یوه دنده وټاکئ	
yes	Yes	Sí	Oui	Sim	Да	Ya	Oo	بله	هو	
no	No	No	Non	Não	Нет	TIDAK	Hindi	خیر	نه	
qr_code	QR Code	Código QR	Code QR	Código QR	QR-код	Kode QR	QR Code	کد QR	کیو آر کوډ	
file_system	File System	Sistema de archivos	Système de fichiers	Sistema de ficheiros	Файловая система	Transfer Berkas	File System	سیستم فایل	د فایلونو سیسټم	
survey	Survey	Encuesta	Enquête	Questionário	Опрос	Survei	Survey	نظرسنجی	سروې	
undefined	Undefined	Sin definir	Non défini	Indefinido	Неопределенный	Belum diartikan	Hindi natukoy	تعریف نشده	تعریف شوی نه دی	
enter_name	Please enter a name	"Por favor, introduzca un nombre"	Veuillez saisir un nom	"Por favor, insira um nome"	"Пожалуйста, введите имя"	Silakan masukkan nama	Mangyaring maglagay ng pangalan	لطفاً یک نام وارد کنید	مهرباني وکړئ یو نوم ولیکئ	
desired_gps_position	Please enter the minimum desired GPS precision	"Por favor, introduzca la precisión GPS mínima deseada"	Veuillez saisir la précision GPS minimale souhaitée	"Por favor, insira a precisão GPS mínima pretendida"	Введите минимальную желаемую точность GPS	Silakan masukkan presisi GPS minimum yang diinginkan	Mangyaring ipasok ang minimum na nais na katumpakan ng GPS	لطفاً حداقل دقت GPS مورد نظر را وارد کنید	مهرباني وکړئ د GPS لږ تر لږه مطلوب دقت ولیکئ	
import_configuration	Import Configuration	Configuración de importación	Importez la configuration	Importar configuração	Импорт конфигурации	Impor Konfigurasi	Pag-import ng Configuration	واردات پیکربندی	تنظیمات وارد کړئ	
select_import_method	Select an import method	Seleccione un método de importación	Sélectionnez une méthode d'importation	Selecione um método de importação	Выберите метод импорта	Pilih metode impor	Pumili ng paraan ng pag-import	انتخاب روش وارد کردن	د واردولو طریقه وټاکئ	
select_configuration	Select a configuration	Seleccione una configuración	Sélectionnez une configuration	Selecione uma configuração	Выберите конфигурацию	Pilih konfigurasi	Pumili ng configuration	انتخاب پیکربندی	تشکیلات وټاکئ	
home_not_exist	Home does not exist	La hogar no existe 	Le domicile n'existe pas	O agregado familiar não existe	Дом не существует	Rumah tidak ada	Walang tahanan	خانوار وجود ندارد	کور شتون نلري	
reason_incomplete	Oops! Please select a reason for incomplete	"¡Oops! Por favor, seleccione una razón para incompleto"	Oups ! Veuillez sélectionner une raison pour l'incomplétude	"Oops! Por favor, seleccione um razão para incompleto"	"Ой! Пожалуйста, выберите причину неполного заполнения"	Ups! Silakan pilih alasan untuk tidak lengkap	Oops! Mangyaring pumili ng dahilan para sa hindi kumpleto	اوه! لطفاً دلیلی برای ناقص بودن انتخاب کنید.	اوه! مهرباني وکړئ د نیمګړي پاتې کېدو لپاره یو دلیل وټاکئ	
enter_enum_area_name	Enter the Enumeration Area name	Ingrese el nombre del área de enumeración	Saisissez le nom de la zone de dénombrement	Insira o nome da área de enumeração	Введите название области регистрации	Masukkan nama Area Pencacahan	Ilagay ang pangalan ng Enumeration Area	نام ناحیه شمارش را وارد کنید	د شمېرنې ساحې نوم ولیکئ	
select_enumeration	Select an Enumeration Area	Seleccione un Área de Enumeración	Sélectionnez une zone de dénombrement	Selecione uma área de enumeração	Выберите область регистрации	Pilih Area Pencacahan	Pumili ng Enumeration Area	یک ناحیه شمارش را انتخاب کنید	یو د شمېرنې ساحه وټاکئ	
select_time	Select Time	Seleccione la hora	Sélectionnez l'heure	Selecione a hora	Выберите время	Pilih Waktu	Piliin ang Oras	زمان را انتخاب کنید	وخت وټاکئ	
select_date	Select Date	Seleccione la fecha	Sélectionnez la date	Selecione a data	Выберите дату	Pilih Tanggal	Piliin ang Petsa	تاریخ را انتخاب کنید	نېټه وټاکئ	
your_pin_is	Your PIN is:	Su PIN es	Votre code PIN est :	O seu PIN é:	Ваш PIN-код:	PIN Anda adalah:	Ang iyong PIN ay:	پین شما:	ستاسو پین دی:	
incorrect_answer_message	Oops! Incorrect answer.  Please try again.	"¡Uy! Respuesta incorrecta.  Por favor, inténtelo de nuevo."	Oups ! Réponse incorrecte.  Veuillez réessayer.	"Oops! Resposta incorrecta.  Por favor, tente novamente."	"Ой! Неправильный ответ.  Пожалуйста, попробуйте еще раз."	Ups! Jawaban yang salah. Silakan coba lagi.	Oops! Maling sagot. Pakisubukang muli.	اوه! پاسخ نادرست است.  لطفاً دوباره تلاش کنید.	اوه! ناسم ځواب. مهرباني وکړئ بیا هڅه وکړئ.	
enter_other_question	Enter Other Question	Introduzca otra pregunta	Saisissez une autre question	Insira outra pergunta	Введите другой вопрос	Masukkan Pertanyaan Lainnya	Ipasok ang Iba pang Tanong	سؤال دیگر را وارد کنید	نورې پوښتنې داخل کړئ	
reenter_pin	Please re-enter the PIN	Vuelva a introducir el PIN	Veuillez saisir à nouveau le code PIN	Volte a insirar o PIN	"Пожалуйста, введите PIN-код повторно"	Silakan masukkan kembali PIN	Pakipasok muli ang PIN	لطفاً پین را دوباره وارد کنید	مهرباني وکړئ پن بیا داخل کړئ	
enter_pin	Please enter a PIN	"Por favor, introduzca un PIN"	Veuillez saisir un code PIN	"Por favor, insira um PIN"	"Пожалуйста, введите PIN-код"	Silakan masukkan PIN	Mangyaring magpasok ng PIN	لطفاً یک پین وارد کنید	مهرباني وکړئ پن داخل کړئ	
other_question	Other Question	Otra pregunta	Autre question	Outra pergunta	Другой вопрос	Pertanyaan lain	Iba pang Tanong	سؤال دیگر	بله پوښتنه	
enter_answer	Please enter an answer.	"Por favor, introduzca una respuesta."	Veuillez saisir une réponse.	"Por favor, insira uma resposta."	"Пожалуйста, введите ответ."	Silakan masukkan jawaban.	Mangyaring maglagay ng sagot.	لطفاً یک پاسخ وارد کنید.	مهرباني وکړئ یو ځواب ولیکئ.	
pin_not_match	The PIN's do not match	Los PIN no coinciden	Les codes PIN ne correspondent pas	Os PIN's não coincidem	PIN-коды не совпадают	PINnya tidak cocok	Hindi tugma ang PIN	پین	پن کوډونه سره سمون نه خوري.	
enter_file_name	You must enter a file name	Debe introducir un nombre de archivo	Vous devez saisir un nom de fichier	Tem de insirar um nome de ficheiro	Необходимо ввести имя файла	Anda harus memasukkan nama file	Dapat kang maglagay ng pangalan ng file	شما باید یک نام فایل وارد کنید	تاسو باید د فایل نوم ولیکئ.	
pin_incorrect	The current PIN is incorrect	El PIN actual es incorrecto	Le code PIN actuel est incorrect	O PIN atual está incorreto	Текущий PIN-код неверен	PIN saat ini salah	Ang kasalukuyang PIN ay hindi tama	پین فعلی نادرست است	اوسنی پین غلط دی	
config_not_found	Fatal! Configuration not found.	Fallo Configuración no encontrada.	Erreur fatale ! La configuration n'a pas été trouvée.	Fatal! Configuração não encontrada.	Ошибка! Конфигурация не найдена.	Fatal! Konfigurasi tidak ditemukan.	Nakamamatay! Hindi nahanap ang configuration.	خطای مرگبار! پیکربندی یافت نشد.	فیتال! تشکیلات وموندل شول نه.	
missing_parameter_rule	Fatal! Missing required parameter: rule	¡Fatal! Falta el parámetro requerido: regla	Fatal ! Paramètre requis manquant : règle	Fatal! Parâmetro obrigatório em falta: regra	Ошибка! Отсутствует необходимый параметр: правило	Fatal! Parameter yang diperlukan tidak ada: aturan	Nakamamatay! Nawawala ang kinakailangang parameter: panuntunan	خطای مرگبار! پارامتر مورد نیاز: rule مفقود است.	فیتال! اړین پیرامیټر نشته: قاعده	
ok	Ok	Ok	Ok	Ok	Хорошо	Oke	Ok	باشه	سمه ده	
wifi_disabled	WiFi disabled	WiFi desactivado	WiFi désactivé	WiFi desativado	WiFi отключен	Wi-Fi dinonaktifkan	Naka-disable ang WiFi	وای	وای فای غیر فعال دی	
wifi_disabled_message	WiFi is disabled. Please make sure Wifi is turned on	"El WiFi está desactivado. Por favor, asegúrese de que el Wifi está activado"	Le WiFi est désactivé. Veuillez vous assurer que le Wifi est activé	O WiFi está desativado. Certifique-se de que o Wi-Fi está ativado	"WiFi отключен. Пожалуйста, убедитесь, что WiFi включен"	Wi-Fi dinonaktifkan. Harap pastikan Wifi dihidupkan	Naka-disable ang WiFi. Pakitiyak na naka-on ang Wifi	وای	وای فای بند دی. مهرباني وکړئ ډاډ ترلاسه کړئ چې وای فای فعاله ده.	
additional_info	Additional Info	Información adicional	Informations complémentaires	Informações adicionais	Дополнительная информация	Informasi tambahan	Karagdagang Impormasyon	اطلاعات اضافی	اضافي معلومات	
incomplete	Incomplete	Incompleto	Incomplet	Incompleto	Неполный	Tidak lengkap	Hindi kumpleto	نامکمل	نا بشپړ	
does_not_exist	Does not exist	No existe	N'existe pas	Não existe	Не существует	Tidak ada	Ay wala	وجود ندارد	شتون نه لري	
other	Other	Otros	Autre	Outros	Другое	Lainnya	Iba pa	سایر	نور	
notes	Notes	Notas	Notes	Notas	Примечания	Catatan	Mga Tala	یادداشت	یادښتونه	
oops	Oops!	¡Atención!	Oups !	Oops!	Ой!	Ups!	Oops!	اوه!	اوه!	
field_is_required	field is required	campo obligatorio	le champ est obligatoire	o campo é obrigatório	поле обязательно для заполнения	lapangan diperlukan	kailangan ang field	این فیلد الزامی است	دا ساحه لازمي ده	
number	Number	Número	Numéro	Número	Число	Nomor	Numero	شماره	شماره	
text	Text	Texto	Texte	Texto	Текст	Teks	Text	فیلد متنی	متن	
checkbox	Checkbox	Casilla de chequeo	Case à cocher	Caixa de seleção	Флажок	kotak centang	Checkbox	تیک	چک باکس	
connected	Connected	Conectado	Connecté	Ligado	Подключено	Terhubung	Nakakonekta	متصل	وصل	
forgot_pin	Forgot PIN	PIN olvidado	PIN oublié	Esqueci-me do PIN	Забыл PIN-код	Lupa PIN	Nakalimutan ang PIN	رمز PIN را فراموش کرده	پن هېر شوی	
reset_pin	Reset PIN	Restablecer PIN	Réinitialiser le code PIN	Redefinir PIN	Сбросить PIN-код	Setel ulang PIN	I-reset ang PIN	بازنشانی رمز PIN	پن بیا تنظیم کړئ	
personally_identifiable	Personally Identifiable Information	Información personal identificable	Informations personnelles identifiables	Informações de identificação pessoal	Персональная информация	Informasi Identifikasi Pribadi	Personal na Makikilalang Impormasyon	اطلاعات قابل شناسایی شخصی	شخصي د پېژندلو وړ معلومات	
integer_only	Integer Only	Sólo números enteros	Nombre entier seulement	Apenas números inteiros	Только целое число	Hanya Bilangan Bulat	Integer Lamang	تنها عدد صحیح	یوازې عدد	
required	Required	Requerido	Obligatoire	Necessário	Обязательно	Diperlukan	Kinakailangan	الزامی	اړین	
time	Time	Hora	L'heure	Hora	Время	Waktu	Oras	زمان	وخت	
date	Date	Fecha	La date	Data	Дата	Tanggal	Petsa	تاریخ	نېټه	
dropdown	Dropdown	Menú de opciones	Question déroulante	Lista suspensa	Выпадающее окно	tarik-turun	Dropdown	لیست کشویی	ښکته کېدونکی	
fields	Fields	Campos	Les Champs	Campos	Поля	Isian	Mga patlang	میدان	ډګرونه	
rules	Rules	Reglas	Les Règles	Regras	Правила	Aturan	Mga tuntunin	قوانین	قوانین	
simple_random	Simple Random Sampling	Muestreo aleatorio simple	Échantillonnage aléatoire simple	Amostragem aleatória simples	Простая случайная выборка	Contoh acak sederhana	Simple Random Sampling	نمونه گیری تصادفی ساده	ساده تصادفي نمونه	
cluster_sampling	Cluster Sampling	Muestreo por conglomerados	Échantillonnage en grappes	Amostragem por conglomerados	Кластерная выборка	Pengambilan Sampel Klaster	Cluster Sampling	نمونه گیری خوشه	ډله	
subset_overlap	Subsets: May Overlap	Subconjuntos: Se pueden superponer	Sous-ensembles : Peuvent se chevaucher	Subconjuntos: Podem sobrepor-se	Подмножества: Могут пересекаться	Subset: Mungkin Tumpang Tindih	Mga Subset: Maaaring Mag-overlap	زیرمجموعه	فرعي ټولګي: ممکن یو پر بل پراته وي	
strata_exclusive	Strata: Mutually Exclusive	Estratos: Mutuamente excluyentes	Strates : Exclusivité mutuelle	Estratos: Mutuamente exclusivos	Страты: Взаимоисключающие	Strata: Saling Eksklusif	Strata: Mutually Exclusive	طبقات: به	طبقې: یو له بل سره ناساز	
numberhouseholds	# of Households	# de hogares	#  de ménages	# Número de agregados familiares	Кол-во домохозяйств	# Rumah Tangga	Bilang ng mga Sambahayan	تعداد خانوارها	د کورنیو شمېر	
percenthouseholds	% of all Households	% de todos los hogares	% de tous les ménages	% de todos os agregados familiares	% от всех домохозяйств	% dari seluruh Rumah Tangga	% ng lahat ng Sambahayan	درصد خانوارها	د ټولو کورنیو سلنه	
percenttotal	% of total population	% de la población total	% de la population totale	% da população total	% от общей популяции	% dari total populasi	% ng kabuuang populasyon	درصد کل جمعیت	د ټول نفوس سلنه	
equal	Equal	Igual	Egaux	Igual	Равно	Setara	Kapantay	مساوی	برابر	
not_equal	Not Equal	No iguales	Non égaux	Não igual	Не равно	Tidak sama	Hindi Pantay	نامساوی	غیر مساوي	
less_than	Less Than	Menor que	Inférieur à	Menor que	Меньше чем	Kurang dari	Mas mababa kaysa	کمتر از	له کم	
greater_than	Greater Than	Mayor que	Supérieur à	Maior que	Больше чем	Lebih besar dari	Mas Dakila Kaysa	بزرگ	له زیات	
greater_than_equal	Greater Than Or Equal	Mayor que o igual	Supérieur ou égal	Maior que ou igual	Больше или равно	Lebih Besar Dari Atau Sama Dengan	Higit sa O Katumbas	بزرگ	له زیات یا مساوي	
add_condition	Add Condition	Añadir condición	Ajoutez une condition	Adicionar condição	Добавить условие	Tambahkan Kondisi	Magdagdag ng Kundisyon	افزودن شرط	شرط اضافه کړئ	
select_rule	Select Rule	Seleccionar regla	Sélectionnez une règle	Selecionar regra	Выберите правило	Pilih Aturan	Piliin ang Panuntunan	قانون انتخاب	قاعده وټاکئ	
teams	Teams	Equipos	Équipes	Equipas	Команды	Tim	Mga koponan	تیم	ټیمونه	
select_location	Select Location	Seleccionar ubicación	Sélectionnez le lieu	Selecionar localização	Выбрать местоположение	Pilih lokasi	Piliin ang Lokasyon	مکان انتخاب	موقعیت وټاکئ	
current_location	Current	Actual	Actuel	Atual	Текущее	Saat ini	Kasalukuyan	جاری	اوسنی	
tap_the_map	Tap on the map to add a new location	Pulse en el mapa para añadir una nueva ubicación	Tapez sur la carte pour ajouter un nouveau lieu	Toque no mapa para adicionar uma nova localização	"Нажмите на карту, чтобы добавить новое местоположение"	Ketuk pada peta untuk menambahkan lokasi baru	Mag-tap sa mapa para magdagdag ng bagong lokasyon	برای افزودن مکان جدید، روی نقشه ضربه بزنید	د نوي ځای اضافه کولو لپاره په نقشه کلیک وکړئ	
complete	Complete	Completar	Complet	Completar	Завершено	Menyelesaikan	Kumpleto	تکمیل شد	بشپړ	
reason_incomplete_label	Reason Incomplete	Razón Incompleto	Motif Incomplet	Razão Incompleto	Причина незавершенности	Alasan Tidak Lengkap	Hindi Kumpleto ang Dahilan	دلیل تکمیل نشدن	د نیمګړي پاتې کېدو دلیل	
warning	Warning!	Advertencia	Attention!	Aviso!	Внимание!	Peringatan!	Babala!	هشدار!	خبرداری!	
duplicate_warning	Adding this new location is extremely close to an existing location.  Are you sure that you want to add it?	Esta nueva ubicación está extremadamente cerca de una ubicación existente.  ¿Está seguro de que desea añadirla?	L'ajout de ce nouveau lieu est extrêmement proche d'un lieu existant.  Êtes-vous sûr de vouloir l'ajouter ?	A adição desta nova localização é extremamente próxima de uma localização existente.  Tem a certeza de que pretende adicioná-la?	"Добавление нового местоположения происходит очень близко к существующему местоположению.  Вы уверены, что хотите добавить его?"	Lokasi baru yang ditambahkan sangat dekat dengan lokasi yang sudah ada. Apakah Anda yakin ingin menambahkannya?	Ang pagdaragdag ng bagong lokasyong ito ay napakalapit sa isang kasalukuyang lokasyon. Sigurado ka bang gusto mong idagdag ito?	افزودن این مکان جدید بسیار به یک مکان موجود نزدیک است.  آیا مطمئن هستید که می	د دې نوي ځای اضافه کول یو له پخوا موجود ځای څخه خورا نږدې دي. ایا تاسو ډاډه یاست چې غواړئ دا اضافه کړئ؟	
missing_team	Configuration is missing a Team definition	A la configuración le falta una definición de Equipo	Il manque une définition d'équipe à la configuration	A configuração não tem uma definição de Equipa	В конфигурации отсутствует определение команды	Konfigurasi tidak memiliki definisi Tim	Ang configuration ay walang kahulugan ng Team	در پیکربندی تعریف تیم وجود ندارد.	په تشکیلاتو کې د ټیم تعریف نشته.	
collection_teams	Collection Teams	Equipos de recogida	Équipes de collecte	Equipes de coleta	Команда сборщиков данных	Tim Pengumpul	Mga Koponan sa Pagkolekta	تیم	د معلوماتو راټولولو ټیمونه	
begin_field_block	Begin Field Block	Iniciar bloque de preguntas	Début d'une série de variables	Iniciar bloqueio de campo	Начало блока полей	Gunakan Blok Isian	Simulan ang Field Block	شروع بلوک فیلد	د ساحوي بلاک پیل	
save_and_end_block	Save and End Block	Guardar y finalizar bloque	Sauvegarder et terminer la série de variables	Salvar e terminar o bloco	Сохранить и завершить блок	Simpan dan Akhiri Blok Isian	I-save at Tapusin ang Block	ذخیره و پایان بلوک	په ساتلو سره د بلاک پای	
add_another_field	Save and Add Another Field	Guardar y añadir otro campo	Enregistrer et ajouter un autre champ	Salvar e adicionar outro campo	Сохранить и добавить другое поле	Simpan dan Tambahkan Isian Lain	I-save at Magdagdag ng Isa pang Field	ذخیره و افزودن فیلد دیگر	په ساتلو سره د بل ساحوي بلاک اضافه کول	
current_location_not_set	Current Location Not Set	Ubicación actual no establecida	L'emplacement actuel n'est pas défini	Localização atual não definida	Текущее местоположение не установлено	Lokasi Saat Ini Tidak Ditetapkan	Kasalukuyang Lokasyon Hindi Nakatakda	مکان فعلی تنظیم نشده است	اوسنی ځای نه دی ټاکل شوی	
option_item_name	Enter the Option Item Name	Ingrese el nombre de la opción	Saisissez le nom de l'élément de l'option	Introduzir o nome do item de opção	Введите имя варианта ответа	Masukkan Nama Item Opsi	Ilagay ang Option Item Name	نام آیتم گزینه را وارد کنید	د انتخابي توکي نوم ولیکئ	
export_collection_data	Export Collection Data	Exportar datos de recogida	Exporter les données de collecte	Exportar dados de coleta	Экспорт собранных данных	Ekspor Data Pengumpulan	I-export ang Data ng Koleksyon	صادرات داده	د ټولګې معلومات صادر کړئ	
import_field_data	Import Field Data	Importar datos de campo	Importez des données de terrain	Importar dados de campo	Импорт полевых данных	Impor Data Lapangan	Mag-import ng Data ng Field	واردات داده	د ساحې معلومات وارد کړئ	
select_a_date	Select a Date	Seleccione una fecha	Sélectionnez une date	Selecionar uma data	Выберите дату	Pilih Tanggal	Pumili ng Petsa	تاریخ را انتخاب کنید	یوه نېټه وټاکئ	
select	Select	Seleccione	Sélectionner	Selecionar	Выберите	Pilih	Pumili	انتخاب کنید	ټاکل	
team_name	Team Name	Nombre del equipo	Nom de l'équipe	Nome da equipe	Имя команды	Nama tim	Pangalan ng Koponan	نام تیم	د ټیم نوم	
launch_survey	Launch Survey	Iniciar encuesta	Lancez l'enquête	Lançar questionário	Запустить опрос	Mulai Survey	Ilunsad ang Survey	شروع نظرسنجی	سروې پیل کړئ	
mark_as_incomplete	Mark as Incomplete	Marcar como incompleta	Marquer comme incomplet	Marcar como Incompleto	Пометить как незавершенный	Tandai sebagai Tidak Lengkap	Markahan bilang Hindi kumpleto	به	د نیمګړي په توګه نښه کړئ	
